run_id,run_dir,condition,mode,round_index,pair_id,trade_index,accepted,trade_outcome,player_trade_outcome,player_id,display_name,role,proposer_id,responder_id,is_proposer,is_responder,proposed_trade,inventory_before,inventory_after,utility_before,utility_after,utility_delta,logged_utility_before,logged_utility_after,logged_utility_delta,utility_recompute_abs_error_before,utility_recompute_abs_error_after
20260603_171055_preference_drift_v1_parallel_pairs_run_1,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171055_preference_drift_v1_parallel_pairs_run_1,preference_drift_v1_parallel_pairs_run_1,gpt,2,round_2_player_6_vs_player_5,4,True,loss_with_no_change,loss,player_5,Agent 5,Merchant,player_6,player_5,False,True,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}","{""A"": 1, ""B"": 1, ""C"": 2}","{""A"": 0, ""B"": 1, ""C"": 3}",2.270543418900952,1.986184990874072,-0.28435842802688005,2.270543418900952,1.986184990874072,-0.28435842802688005,0.0,0.0
20260603_171055_preference_drift_v1_parallel_pairs_run_1,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171055_preference_drift_v1_parallel_pairs_run_1,preference_drift_v1_parallel_pairs_run_1,gpt,2,round_2_player_6_vs_player_5,4,True,loss_with_no_change,no_change,player_6,Agent 6,Merchant,player_6,player_5,True,False,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}","{""A"": 1, ""B"": 1, ""C"": 2}","{""A"": 2, ""B"": 1, ""C"": 1}",2.270543418900952,2.2705434189009517,-4.440892098500626e-16,2.270543418900952,2.2705434189009517,-4.440892098500626e-16,0.0,0.0
20260603_171055_preference_drift_v1_parallel_pairs_run_1,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171055_preference_drift_v1_parallel_pairs_run_1,preference_drift_v1_parallel_pairs_run_1,gpt,5,round_5_player_3_vs_player_6,13,True,mutual_loss,loss,player_6,Agent 6,Merchant,player_3,player_6,False,True,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}","{""A"": 1, ""B"": 1, ""C"": 2}","{""A"": 0, ""B"": 1, ""C"": 3}",2.270543418900952,1.986184990874072,-0.28435842802688005,2.270543418900952,1.986184990874072,-0.28435842802688005,0.0,0.0
20260603_171055_preference_drift_v1_parallel_pairs_run_1,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171055_preference_drift_v1_parallel_pairs_run_1,preference_drift_v1_parallel_pairs_run_1,gpt,5,round_5_player_3_vs_player_6,13,True,mutual_loss,loss,player_3,Agent 3,Weaver,player_3,player_6,True,False,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}","{""A"": 0, ""B"": 2, ""C"": 2}","{""A"": 1, ""B"": 2, ""C"": 1}",2.687875379522287,2.603090780733767,-0.08478459878852007,2.687875379522287,2.603090780733767,-0.08478459878852007,0.0,0.0
20260603_171055_preference_drift_v1_parallel_pairs_run_1,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171055_preference_drift_v1_parallel_pairs_run_1,preference_drift_v1_parallel_pairs_run_1,gpt,5,round_5_player_4_vs_player_2,12,True,one_sided_loss,loss,player_4,Agent 4,Weaver,player_4,player_2,True,False,"{""give"": {""B"": 1}, ""receive"": {""C"": 1}}","{""A"": 0, ""B"": 3, ""C"": 1}","{""A"": 0, ""B"": 2, ""C"": 2}",2.928171391891251,2.687875379522287,-0.24029601236896392,2.928171391891251,2.687875379522287,-0.24029601236896392,0.0,0.0
20260603_171055_preference_drift_v1_parallel_pairs_run_1,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171055_preference_drift_v1_parallel_pairs_run_1,preference_drift_v1_parallel_pairs_run_1,gpt,5,round_5_player_4_vs_player_2,12,True,one_sided_loss,gain,player_2,Agent 2,Builder,player_4,player_2,False,True,"{""give"": {""B"": 1}, ""receive"": {""C"": 1}}","{""A"": 3, ""B"": 0, ""C"": 1}","{""A"": 3, ""B"": 1, ""C"": 0}",2.82842712474619,3.0314331330207964,0.20300600827460658,2.82842712474619,3.0314331330207964,0.20300600827460658,0.0,0.0
20260603_171326_preference_drift_v1_parallel_pairs_run_2,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171326_preference_drift_v1_parallel_pairs_run_2,preference_drift_v1_parallel_pairs_run_2,gpt,1,round_1_player_6_vs_player_1,0,True,one_sided_loss,loss,player_6,Agent 6,Merchant,player_1,player_6,False,True,"{""give"": {""C"": 1}, ""receive"": {""B"": 1}}","{""A"": 0, ""B"": 2, ""C"": 2}","{""A"": 0, ""B"": 1, ""C"": 3}",2.0649047728786885,1.986184990874072,-0.07871978200461638,2.0649047728786885,1.986184990874072,-0.07871978200461638,0.0,0.0
20260603_171326_preference_drift_v1_parallel_pairs_run_2,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171326_preference_drift_v1_parallel_pairs_run_2,preference_drift_v1_parallel_pairs_run_2,gpt,1,round_1_player_6_vs_player_1,0,True,one_sided_loss,gain,player_1,Agent 1,Builder,player_1,player_6,True,False,"{""give"": {""C"": 1}, ""receive"": {""B"": 1}}","{""A"": 1, ""B"": 0, ""C"": 3}","{""A"": 1, ""B"": 1, ""C"": 2}",1.8660659830736148,2.0827594879848212,0.21669350491120642,1.8660659830736148,2.0827594879848212,0.21669350491120642,0.0,0.0
20260603_171326_preference_drift_v1_parallel_pairs_run_2,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171326_preference_drift_v1_parallel_pairs_run_2,preference_drift_v1_parallel_pairs_run_2,gpt,4,round_4_player_2_vs_player_5,10,True,one_sided_loss,loss,player_5,Agent 5,Merchant,player_2,player_5,False,True,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}","{""A"": 1, ""B"": 1, ""C"": 2}","{""A"": 0, ""B"": 1, ""C"": 3}",2.270543418900952,1.986184990874072,-0.28435842802688005,2.270543418900952,1.986184990874072,-0.28435842802688005,0.0,0.0
20260603_171326_preference_drift_v1_parallel_pairs_run_2,\home\yyspencer\PSU\REAL\Preference_drift_results\Runs_6_3\broadcast runs\20260603_171326_preference_drift_v1_parallel_pairs_run_2,preference_drift_v1_parallel_pairs_run_2,gpt,4,round_4_player_2_vs_player_5,10,True,one_sided_loss,gain,player_2,Agent 2,Builder,player_2,player_5,True,False,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}","{""A"": 2, ""B"": 0, ""C"": 2}","{""A"": 3, ""B"": 0, ""C"": 1}",2.408224685280692,2.82842712474619,0.42020243946549796,2.408224685280692,2.82842712474619,0.42020243946549796,0.0,0.0
