run_id,condition,round_index,pair_id,trade_index,trade_outcome,min_delta,max_delta,sum_delta,proposed_trade,proposer_id,responder_id
20260603_171055_preference_drift_v1_parallel_pairs_run_1,preference_drift_v1_parallel_pairs_run_1,2,round_2_player_6_vs_player_5,4,loss_with_no_change,-0.28435842802688005,-4.440892098500626e-16,-0.2843584280268805,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}",player_6,player_5
20260603_171055_preference_drift_v1_parallel_pairs_run_1,preference_drift_v1_parallel_pairs_run_1,5,round_5_player_3_vs_player_6,13,mutual_loss,-0.28435842802688005,-0.08478459878852007,-0.3691430268154001,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}",player_3,player_6
20260603_171055_preference_drift_v1_parallel_pairs_run_1,preference_drift_v1_parallel_pairs_run_1,5,round_5_player_4_vs_player_2,12,one_sided_loss,-0.24029601236896392,0.20300600827460658,-0.03729000409435734,"{""give"": {""B"": 1}, ""receive"": {""C"": 1}}",player_4,player_2
20260603_171326_preference_drift_v1_parallel_pairs_run_2,preference_drift_v1_parallel_pairs_run_2,1,round_1_player_6_vs_player_1,0,one_sided_loss,-0.07871978200461638,0.21669350491120642,0.13797372290659005,"{""give"": {""C"": 1}, ""receive"": {""B"": 1}}",player_1,player_6
20260603_171326_preference_drift_v1_parallel_pairs_run_2,preference_drift_v1_parallel_pairs_run_2,4,round_4_player_2_vs_player_5,10,one_sided_loss,-0.28435842802688005,0.42020243946549796,0.1358440114386179,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}",player_2,player_5
20260603_171550_preference_drift_v1_parallel_pairs_run_3,preference_drift_v1_parallel_pairs_run_3,3,round_3_player_5_vs_player_6,7,loss_with_no_change,-0.07871978200461638,-4.440892098500626e-16,-0.07871978200461682,"{""give"": {""C"": 1}, ""receive"": {""B"": 1}}",player_5,player_6
20260603_171550_preference_drift_v1_parallel_pairs_run_3,preference_drift_v1_parallel_pairs_run_3,5,round_5_player_3_vs_player_2,12,one_sided_loss,-0.24029601236896392,0.24817779460597666,0.007881782237012747,"{""give"": {""B"": 1}, ""receive"": {""C"": 1}}",player_3,player_2
20260603_171550_preference_drift_v1_parallel_pairs_run_3,preference_drift_v1_parallel_pairs_run_3,5,round_5_player_6_vs_player_4,13,mutual_loss,-0.2853581477901477,-0.08478459878852007,-0.37014274657866775,"{""give"": {""A"": 1}, ""receive"": {""C"": 1}}",player_6,player_4
20260603_171851_preference_drift_v1_parallel_pairs_run_4,preference_drift_v1_parallel_pairs_run_4,4,round_4_player_5_vs_player_1,10,mutual_loss,-0.20563864602226367,-0.1720246448595213,-0.37766329088178496,"{""give"": {""B"": 1}, ""receive"": {""A"": 1}}",player_5,player_1
20260603_171851_preference_drift_v1_parallel_pairs_run_4,preference_drift_v1_parallel_pairs_run_4,5,round_5_player_6_vs_player_1,12,one_sided_loss,-0.20563864602226367,0.1720246448595213,-0.03361400116274238,"{""give"": {""B"": 1}, ""receive"": {""A"": 1}}",player_1,player_6
20260603_172157_preference_drift_v1_parallel_pairs_run_5,preference_drift_v1_parallel_pairs_run_5,4,round_4_player_6_vs_player_5,10,mutual_loss,-0.20563864602226367,-0.20563864602226367,-0.41127729204452734,"{""give"": {""A"": 1}, ""receive"": {""B"": 1}}",player_6,player_5
20260603_172157_preference_drift_v1_parallel_pairs_run_5,preference_drift_v1_parallel_pairs_run_5,5,round_5_player_2_vs_player_5,12,one_sided_loss,-0.07871978200461638,0.2567421888538579,0.17802240684924153,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}",player_2,player_5
20260603_172440_preference_drift_v1_parallel_pairs_run_6,preference_drift_v1_parallel_pairs_run_6,2,round_2_player_5_vs_player_1,3,one_sided_loss,-0.28435842802688005,0.21669350491120642,-0.06766492311567363,"{""give"": {""C"": 1}, ""receive"": {""B"": 1}}",player_1,player_5
20260603_172440_preference_drift_v1_parallel_pairs_run_6,preference_drift_v1_parallel_pairs_run_6,4,round_4_player_5_vs_player_6,9,one_sided_loss,-0.20563864602226367,0.20563864602226367,0.0,"{""give"": {""A"": 1}, ""receive"": {""B"": 1}}",player_5,player_6
20260603_172440_preference_drift_v1_parallel_pairs_run_6,preference_drift_v1_parallel_pairs_run_6,5,round_5_player_5_vs_player_2,12,one_sided_loss,-0.28435842802688005,0.20300600827460658,-0.08135241975227347,"{""give"": {""B"": 1}, ""receive"": {""C"": 1}}",player_5,player_2
20260603_172744_preference_drift_v1_parallel_pairs_run_7,preference_drift_v1_parallel_pairs_run_7,1,round_1_player_6_vs_player_2,2,one_sided_loss,-0.07871978200461638,0.21669350491120642,0.13797372290659005,"{""give"": {""C"": 1}, ""receive"": {""B"": 1}}",player_2,player_6
20260603_172744_preference_drift_v1_parallel_pairs_run_7,preference_drift_v1_parallel_pairs_run_7,2,round_2_player_5_vs_player_2,4,one_sided_loss,-0.07871978200461638,0.08618405441057586,0.007464272405959482,"{""give"": {""B"": 1}, ""receive"": {""C"": 1}}",player_5,player_2
20260603_172744_preference_drift_v1_parallel_pairs_run_7,preference_drift_v1_parallel_pairs_run_7,4,round_4_player_1_vs_player_6,9,one_sided_loss,-0.07871978200461638,0.42020243946549796,0.3414826574608816,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}",player_1,player_6
20260603_172744_preference_drift_v1_parallel_pairs_run_7,preference_drift_v1_parallel_pairs_run_7,4,round_4_player_3_vs_player_5,11,one_sided_loss,-0.28435842802688005,0.3897269413331239,0.10536851330624386,"{""give"": {""C"": 1}, ""receive"": {""B"": 1}}",player_3,player_5
20260603_173026_preference_drift_v1_parallel_pairs_run_8,preference_drift_v1_parallel_pairs_run_8,1,round_1_player_5_vs_player_1,0,one_sided_loss,-0.07871978200461638,0.21669350491120642,0.13797372290659005,"{""give"": {""C"": 1}, ""receive"": {""B"": 1}}",player_1,player_5
20260603_173026_preference_drift_v1_parallel_pairs_run_8,preference_drift_v1_parallel_pairs_run_8,2,round_2_player_2_vs_player_6,5,one_sided_loss,-0.28435842802688005,0.42020243946549796,0.1358440114386179,"{""give"": {""C"": 1}, ""receive"": {""A"": 1}}",player_2,player_6
